topicId,rootId,wordId,type,group,title,question,answers,correctAnswer,explanation,audio_script,image_description,wordGroup,level,order
t-hsk1-cumtucodinh,,w-kaiwanxiao,A1,A,"{""vi"": ""Nhìn chữ Hán → Chọn nghĩa"", ""en"": ""See Hanzi → Choose meaning""}","{""vi"": ""Chọn nghĩa đúng của từ sau:\n开玩笑 [kāiwánxiào]""}","{""vi"": [""A. nói đùa, trêu đùa"", ""B. cái gì"", ""C. xin lỗi"", ""D. không có gì""]}","{""vi"": ""A""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,,[],HSK1,0
t-hsk1-cumtucodinh,,w-kaiwanxiao,A2,A,"{""vi"": ""Nghe audio → Chọn từ"", ""en"": ""Listen → Choose word""}","{""vi"": ""Nghe audio và chọn đáp án đúng:\nkāiwánxiào""}","{""vi"": [""A. 什么 [shénme]"", ""B. 怎么 [zěnme]"", ""C. 开玩笑 [kāiwánxiào]"", ""D. 干什么 [gànshénme]""]}","{""vi"": ""C""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",开玩笑,,[],HSK1,1
t-hsk1-cumtucodinh,,w-kaiwanxiao,A3,A,"{""vi"": ""Đúng/Sai nghĩa"", ""en"": ""True/False meaning""}","{""vi"": ""Phán đoán đúng sai:\n开玩笑 [kāiwánxiào] = xin lỗi""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""B""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,,[],HSK1,2
t-hsk1-cumtucodinh,,w-kaiwanxiao,A4,A,"{""vi"": ""Nhìn chữ Hán → Chọn pinyin + nghĩa"", ""en"": ""See Hanzi → Choose pinyin + meaning""}","{""vi"": ""Chọn phiên âm và nghĩa của từ:\n开玩笑""}","{""vi"": [""A. [shénme] - cái gì"", ""B. [kāiwánxiào] - nói đùa, trêu đùa"", ""C. [gànshénme] - làm gì đó"", ""D. [zěnme] - làm sao, thế nào""]}","{""vi"": ""B""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,,[],HSK1,3
t-hsk1-cumtucodinh,,w-kaiwanxiao,B1,B,"{""vi"": ""Nhìn nghĩa → Chọn chữ Hán"", ""en"": ""See meaning → Choose Hanzi""}","{""vi"": ""Chọn \""nói đùa, trêu đùa\"":""}","{""vi"": [""A. 开玩笑 [kāiwánxiào]"", ""B. 再见 [zàijiàn]"", ""C. 一下儿 [yīxiàr]"", ""D. 口 [kǒu]""]}","{""vi"": ""A""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,,[],HSK1,4
t-hsk1-cumtucodinh,,w-kaiwanxiao,B2,B,"{""vi"": ""Nhìn ảnh → Chọn từ"", ""en"": ""See image → Choose word""}","{""vi"": ""Xem hình và chọn từ phù hợp:""}","{""vi"": [""A. 什么 [shénme]"", ""B. 不客气 [bù kèqi]"", ""C. 怎么样 [zěnme yàng]"", ""D. 开玩笑 [kāiwánxiào]""]}","{""vi"": ""D""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,"Two young people sitting at a table in a cafe, one is laughing while making a funny hand gesture, the other is smiling happily",[],HSK1,5
t-hsk1-cumtucodinh,,w-kaiwanxiao,B3,B,"{""vi"": ""Đọc nghĩa → Gõ chữ Hán"", ""en"": ""Read meaning → Type Hanzi""}","{""vi"": ""Nhập chữ Hán của:\nnói đùa, trêu đùa""}",None,"{""vi"": ""开玩笑""}","{""vi"": ""开玩笑 [kāiwánxiào]: nói đùa, trêu đùa""}",,,[],HSK1,6
t-hsk1-cumtucodinh,,w-kaiwanxiao,C1,C,"{""vi"": ""Điền trống — câu đơn"", ""en"": ""Fill blank — single sentence""}","{""vi"": ""Điền từ vào chỗ trống:\n他喜欢跟朋友们___。\nTā xǐhuan gēn péngyoumen ___.""}","{""vi"": [""A. 谢谢 [xièxie]"", ""B. 没事儿 [méishìr]"", ""C. 对不起 [duìbuqǐ]"", ""D. 开玩笑 [kāiwánxiào]""]}","{""vi"": ""D""}","{""vi"": ""他喜欢跟朋友们开玩笑。\nTā xǐhuan gēn péngyoumen kāi wánxiào.\nDịch: Anh ấy thích nói đùa với các bạn.""}",,,[],HSK1,7
t-hsk1-cumtucodinh,,w-kaiwanxiao,C2,C,"{""vi"": ""Chọn câu đúng"", ""en"": ""Choose correct sentence""}","{""vi"": ""Chọn câu đúng:""}","{""vi"": [""A. 朋友喜欢开玩笑跟我。\nPéngyou xǐhuan kāi wánxiào gēn wǒ."", ""B. 朋友喜欢跟我开玩笑。\nPéngyou xǐhuan gēn wǒ kāi wánxiào.""]}","{""vi"": ""B""}","{""vi"": ""Câu đúng:\n朋友喜欢跟我开玩笑。\nPéngyou xǐhuan gēn wǒ kāi wánxiào.\nDịch: Bạn bè thích nói đùa với tôi.\n\nCâu sai:\n朋友喜欢开玩笑跟我。\nPéngyou xǐhuan kāi wánxiào gēn wǒ.\nLý do: Sai cấu trúc — trạng ngữ \""跟 wǒ\"" (với tôi) phải đứng trước động từ \""开玩笑\"", không đứng sau.""}",,,[],HSK1,8
t-hsk1-cumtucodinh,,w-kaiwanxiao,C3,C,"{""vi"": ""Đúng/Sai cách dùng"", ""en"": ""True/False usage""}","{""vi"": ""Phán đoán đúng sai:\n他开玩笑我。\nTā kāi wánxiào wǒ.""}","{""vi"": [""A. Sai"", ""B. Đúng""]}","{""vi"": ""A""}","{""vi"": ""Nguyên nhân sai: \""开玩笑\"" không thể đứng trước tân ngữ trực tiếp — cần dùng \""跟\"" trước người.\n\nCâu đúng:\n他跟我开玩笑。\nTā gēn wǒ kāi wánxiào.\nDịch: Anh ấy nói đùa với tôi.""}",,,[],HSK1,9
t-hsk1-cumtucodinh,,w-kaiwanxiao,C4,C,"{""vi"": ""Điền trống — hội thoại"", ""en"": ""Fill blank — dialogue""}","{""vi"": ""Điền từ vào chỗ trống:\nA: 你觉得小王怎么样？\nNǐ juéde Xiǎo Wáng zěnme yàng?\nB: 他每天喜欢___，人很好。\nTā měitiān xǐhuan ___, rén hěn hǎo.""}","{""vi"": [""A. 没关系 [méi guānxi]"", ""B. 开玩笑 [kāiwánxiào]"", ""C. 没什么 [méi shénme]"", ""D. 有时候 [yǒu shíhou]""]}","{""vi"": ""B""}","{""vi"": ""A: 你觉得小王怎么样？B: 他每天喜欢开玩笑，人很好。\nNǐ juéde Xiǎo Wáng zěnme yàng? Tā měitiān xǐhuan kāi wánxiào, rén hěn hǎo.\n\nDịch:\nA: Bạn thấy Tiểu Vương thế nào?\nB: Anh ấy ngày nào cũng thích nói đùa, người rất tốt.""}",,,[],HSK1,10
t-hsk1-cumtucodinh,,w-shenme,A1,A,"{""vi"": ""Nhìn chữ Hán → Chọn nghĩa"", ""en"": ""See Hanzi → Choose meaning""}","{""vi"": ""Chọn nghĩa đúng của từ sau:\n什么 [shénme]""}","{""vi"": [""A. cảm ơn"", ""B. cái gì"", ""C. thế nào"", ""D. xin lỗi""]}","{""vi"": ""B""}","{""vi"": ""什么 [shénme]: cái gì""}",,,[],HSK1,11
t-hsk1-cumtucodinh,,w-shenme,A2,A,"{""vi"": ""Nghe audio → Chọn từ"", ""en"": ""Listen → Choose word""}","{""vi"": ""Nghe audio và chọn đáp án đúng:\n[shénme]""}","{""vi"": [""A. 什么 [shénme]"", ""B. 怎么 [zěnme]"", ""C. 谢谢 [xièxie]"", ""D. 没事儿 [méishìr]""]}","{""vi"": ""A""}","{""vi"": ""什么 [shénme]: cái gì""}",什么,,[],HSK1,12
t-hsk1-cumtucodinh,,w-shenme,A3,A,"{""vi"": ""Đúng/Sai nghĩa"", ""en"": ""True/False meaning""}","{""vi"": ""Phán đoán đúng sai:\n什么 [shénme] = cảm ơn""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""B""}","{""vi"": ""什么 [shénme]: cái gì""}",,,[],HSK1,13
t-hsk1-cumtucodinh,,w-shenme,A4,A,"{""vi"": ""Nhìn chữ Hán → Chọn pinyin + nghĩa"", ""en"": ""See Hanzi → Choose pinyin + meaning""}","{""vi"": ""Chọn phiên âm và nghĩa của từ:\n什么""}","{""vi"": [""A. [xièxie] - cảm ơn"", ""B. [zěnme yàng] - như thế nào"", ""C. [shénme] - cái gì"", ""D. [méi guānxi] - không sao""]}","{""vi"": ""C""}","{""vi"": ""什么 [shénme]: cái gì""}",,,[],HSK1,14
t-hsk1-cumtucodinh,,w-shenme,B1,B,"{""vi"": ""Nhìn nghĩa → Chọn chữ Hán"", ""en"": ""See meaning → Choose Hanzi""}","{""vi"": ""Chọn \""cái gì\"":""}","{""vi"": [""A. 干什么 [gànshénme]"", ""B. 没关系 [méi guānxi]"", ""C. 不客气 [bú kèqi]"", ""D. 什么 [shénme]""]}","{""vi"": ""D""}","{""vi"": ""什么 [shénme]: cái gì""}",,,[],HSK1,15
t-hsk1-cumtucodinh,,w-shenme,B2,B,"{""vi"": ""Nhìn ảnh → Chọn từ"", ""en"": ""See image → Choose word""}","{""vi"": null}",None,None,None,,None,[],HSK1,16
t-hsk1-cumtucodinh,,w-shenme,B3,B,"{""vi"": ""Đọc nghĩa → Gõ chữ Hán"", ""en"": ""Read meaning → Type Hanzi""}","{""vi"": ""Nhập chữ Hán của:\ncái gì""}",None,"{""vi"": ""什么""}","{""vi"": ""什么 [shénme]: cái gì""}",,,[],HSK1,17
t-hsk1-cumtucodinh,,w-shenme,C1,C,"{""vi"": ""Điền trống — câu đơn"", ""en"": ""Fill blank — single sentence""}","{""vi"": ""Điền từ vào chỗ trống:\n你想买___？\nNǐ xiǎng mǎi ___？""}","{""vi"": [""A. 怎么 [zěnme]"", ""B. 什么 [shénme]"", ""C. 有时候 [yǒu shíhou]"", ""D. 不客气 [bú kèqi]""]}","{""vi"": ""B""}","{""vi"": ""你想买什么？\nNǐ xiǎng mǎi shénme?\nDịch: Bạn muốn mua gì?""}",,,[],HSK1,18
t-hsk1-cumtucodinh,,w-shenme,C2,C,"{""vi"": ""Chọn câu đúng"", ""en"": ""Choose correct sentence""}","{""vi"": ""Chọn câu đúng:""}","{""vi"": [""A. 你想吃什么？\nNǐ xiǎng chī shénme?"", ""B. 什么你想吃？\nShénme nǐ xiǎng chī?""]}","{""vi"": ""A""}","{""vi"": ""Câu đúng:\n你想吃什么？\nNǐ xiǎng chī shénme?\nDịch: Bạn muốn ăn gì?\n\nCâu sai:\n什么你想吃？\nShénme nǐ xiǎng chī?\nLý do: Sai cấu trúc — \""什么\"" làm tân ngữ, phải đứng sau động từ \""吃\"", không đứng đầu câu.""}",,,[],HSK1,19
t-hsk1-cumtucodinh,,w-shenme,C3,C,"{""vi"": ""Đúng/Sai cách dùng"", ""en"": ""True/False usage""}","{""vi"": ""Phán đoán đúng sai:\n你叫什么名字？\nNǐ jiào shénme míngzì?""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""A""}","{""vi"": ""你叫什么名字？\nNǐ jiào shénme míngzì?\nDịch: Bạn tên gì?""}",,,[],HSK1,20
t-hsk1-cumtucodinh,,w-shenme,C4,C,"{""vi"": ""Điền trống — hội thoại"", ""en"": ""Fill blank — dialogue""}","{""vi"": ""Điền từ vào chỗ trống:\nA: 这是___？\nZhè shì ___？\nB: 这是书。\nZhè shì shū.""}","{""vi"": [""A. 干什么 [gànshénme]"", ""B. 没事儿 [méishìr]"", ""C. 有时候 [yǒu shíhou]"", ""D. 什么 [shénme]""]}","{""vi"": ""D""}","{""vi"": ""A: 这是什么？\nB: 这是书。\nZhè shì shénme?\nZhè shì shū.\n\nDịch:\nA: Đây là cái gì?\nB: Đây là sách.""}",,,[],HSK1,21
t-hsk1-cumtucodinh,,w-ganshenme,A1,A,"{""vi"": ""Nhìn chữ Hán → Chọn nghĩa"", ""en"": ""See Hanzi → Choose meaning""}","{""vi"": ""Chọn nghĩa đúng của từ sau:\n干什么 [gànshénme]""}","{""vi"": [""A. nói đùa"", ""B. làm gì đó"", ""C. cảm ơn"", ""D. xin lỗi""]}","{""vi"": ""B""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,,[],HSK1,22
t-hsk1-cumtucodinh,,w-ganshenme,A2,A,"{""vi"": ""Nghe audio → Chọn từ"", ""en"": ""Listen → Choose word""}","{""vi"": ""Nghe audio và chọn đáp án đúng:\ngànshénme""}","{""vi"": [""A. 开玩笑 [kāiwánxiào]"", ""B. 什么 [shénme]"", ""C. 怎么 [zěnme]"", ""D. 干什么 [gànshénme]""]}","{""vi"": ""D""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",干什么,,[],HSK1,23
t-hsk1-cumtucodinh,,w-ganshenme,A3,A,"{""vi"": ""Đúng/Sai nghĩa"", ""en"": ""True/False meaning""}","{""vi"": ""Phán đoán đúng sai:\n干什么 [gànshénme] = cảm ơn""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""B""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,,[],HSK1,24
t-hsk1-cumtucodinh,,w-ganshenme,A4,A,"{""vi"": ""Nhìn chữ Hán → Chọn pinyin + nghĩa"", ""en"": ""See Hanzi → Choose pinyin + meaning""}","{""vi"": ""Chọn phiên âm và nghĩa của từ:\n干什么""}","{""vi"": [""A. [kāiwánxiào] - nói đùa"", ""B. [shénme] - cái gì"", ""C. [zěnme] - thế nào"", ""D. [gànshénme] - làm gì đó""]}","{""vi"": ""D""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,,[],HSK1,25
t-hsk1-cumtucodinh,,w-ganshenme,B1,B,"{""vi"": ""Nhìn nghĩa → Chọn chữ Hán"", ""en"": ""See meaning → Choose Hanzi""}","{""vi"": ""Chọn \""làm gì đó\"":""}","{""vi"": [""A. 对不起 [duìbuqǐ]"", ""B. 没关系 [méi guānxi]"", ""C. 谢谢 [xièxie]"", ""D. 干什么 [gànshénme]""]}","{""vi"": ""D""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,,[],HSK1,26
t-hsk1-cumtucodinh,,w-ganshenme,B2,B,"{""vi"": ""Nhìn ảnh → Chọn từ"", ""en"": ""See image → Choose word""}",None,None,"{""vi"": ""干什么""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,None,[],HSK1,27
t-hsk1-cumtucodinh,,w-ganshenme,B3,B,"{""vi"": ""Đọc nghĩa → Gõ chữ Hán"", ""en"": ""Read meaning → Type Hanzi""}","{""vi"": ""Nhập chữ Hán của:\nlàm gì đó""}",None,"{""vi"": ""干什么""}","{""vi"": ""干什么 [gànshénme]: làm gì đó""}",,,[],HSK1,28
t-hsk1-cumtucodinh,,w-ganshenme,C1,C,"{""vi"": ""Điền trống — câu đơn"", ""en"": ""Fill blank — single sentence""}","{""vi"": ""Điền từ vào chỗ trống:\n你在___？\nNǐ zài ___?""}","{""vi"": [""A. 怎么 [zěnme]"", ""B. 谢谢 [xièxie]"", ""C. 不客气 [bù kèqi]"", ""D. 干什么 [gànshénme]""]}","{""vi"": ""D""}","{""vi"": ""你在干什么？\nNǐ zài gàn shénme?\nDịch: Bạn đang làm gì vậy?""}",,,[],HSK1,29
t-hsk1-cumtucodinh,,w-ganshenme,C2,C,"{""vi"": ""Chọn câu đúng"", ""en"": ""Choose correct sentence""}","{""vi"": ""Chọn câu đúng:""}","{""vi"": [""A. 你想干什么？\nNǐ xiǎng gàn shénme?"", ""B. 你干什么想？\nNǐ gàn shénme xiǎng?""]}","{""vi"": ""A""}","{""vi"": ""Câu đúng:\n你想干什么？\nNǐ xiǎng gàn shénme?\nDịch: Bạn muốn làm gì?\n\nCâu sai:\n你干什么想？\nNǐ gàn shénme xiǎng?\nLý do: Sai vị trí - động từ \""想\"" phải đứng trước \""干什么\"" để tạo câu hỏi đúng ngữ pháp.""}",,,[],HSK1,30
t-hsk1-cumtucodinh,,w-ganshenme,C3,C,"{""vi"": ""Đúng/Sai cách dùng"", ""en"": ""True/False usage""}","{""vi"": ""Phán đoán đúng sai:\n他们在干什么？\nTāmen zài gàn shénme?""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""A""}","{""vi"": ""他们在干什么？\nTāmen zài gàn shénme?\nDịch: Họ đang làm gì vậy?""}",,,[],HSK1,31
t-hsk1-cumtucodinh,,w-ganshenme,C4,C,"{""vi"": ""Điền trống — hội thoại"", ""en"": ""Fill blank — dialogue""}","{""vi"": ""Điền từ vào chỗ trống:\nA: 喂，你___呢？\nWèi, nǐ ___ ne?\nB: 我在看书。\nWǒ zài kàn shū.""}","{""vi"": [""A. 不客气 [bù kèqi]"", ""B. 一下儿 [yīxiàr]"", ""C. 干什么 [gànshénme]"", ""D. 谢谢 [xièxie]""]}","{""vi"": ""C""}","{""vi"": ""A: 喂，你干什么呢？\nB: 我在看书。\nWèi, nǐ gàn shénme ne?\nWǒ zài kàn shū.\n\nDịch:\nA: Này, bạn đang làm gì vậy?\nB: Tôi đang đọc sách.""}",,,[],HSK1,32
t-hsk1-cumtucodinh,,w-zenme,A1,A,"{""vi"": ""Nhìn chữ Hán → Chọn nghĩa"", ""en"": ""See Hanzi → Choose meaning""}","{""vi"": ""Chọn nghĩa đúng của từ sau:\n怎么 [zěnme]""}","{""vi"": [""A. cái gì"", ""B. cảm ơn"", ""C. làm sao, thế nào"", ""D. nói đùa, trêu đùa""]}","{""vi"": ""C""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,,[],HSK1,33
t-hsk1-cumtucodinh,,w-zenme,A2,A,"{""vi"": ""Nghe audio → Chọn từ"", ""en"": ""Listen → Choose word""}","{""vi"": ""Nghe audio và chọn đáp án đúng:\nzěnme""}","{""vi"": [""A. 什么 [shénme]"", ""B. 怎么样 [zěnme yàng]"", ""C. 干什么 [gànshénme]"", ""D. 怎么 [zěnme]""]}","{""vi"": ""D""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",怎么,,[],HSK1,34
t-hsk1-cumtucodinh,,w-zenme,A3,A,"{""vi"": ""Đúng/Sai nghĩa"", ""en"": ""True/False meaning""}","{""vi"": ""Phán đoán đúng sai:\n怎么 [zěnme] = nói đùa""}","{""vi"": [""A. Đúng"", ""B. Sai""]}","{""vi"": ""B""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,,[],HSK1,35
t-hsk1-cumtucodinh,,w-zenme,A4,A,"{""vi"": ""Nhìn chữ Hán → Chọn pinyin + nghĩa"", ""en"": ""See Hanzi → Choose pinyin + meaning""}","{""vi"": ""Chọn phiên âm và nghĩa của từ:\n怎么""}","{""vi"": [""A. [gànshénme] - làm gì đó"", ""B. [shénme] - cái gì"", ""C. [zěnme] - làm sao, thế nào"", ""D. [zěnme yàng] - như thế nào""]}","{""vi"": ""C""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,,[],HSK1,36
t-hsk1-cumtucodinh,,w-zenme,B1,B,"{""vi"": ""Nhìn nghĩa → Chọn chữ Hán"", ""en"": ""See meaning → Choose Hanzi""}","{""vi"": ""Chọn \""làm sao, thế nào\"":""}","{""vi"": [""A. 怎么 [zěnme]"", ""B. 对不起 [duìbuqǐ]"", ""C. 再见 [zàijiàn]"", ""D. 怎么样 [zěnme yàng]""]}","{""vi"": ""A""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,,[],HSK1,37
t-hsk1-cumtucodinh,,w-zenme,B2,B,"{""vi"": ""Nhìn ảnh → Chọn từ"", ""en"": ""See image → Choose word""}",None,None,"{""vi"": ""怎么 [zěnme]""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,None,[],HSK1,38
t-hsk1-cumtucodinh,,w-zenme,B3,B,"{""vi"": ""Đọc nghĩa → Gõ chữ Hán"", ""en"": ""Read meaning → Type Hanzi""}","{""vi"": ""Nhập chữ Hán của:\nlàm sao, thế nào""}",None,"{""vi"": ""怎么""}","{""vi"": ""怎么 [zěnme]: làm sao, thế nào""}",,,[],HSK1,39
t-hsk1-cumtucodinh,,w-zenme,C1,C,"{""vi"": ""Điền trống — câu đơn"", ""en"": ""Fill blank — single sentence""}","{""vi"": ""Điền từ vào chỗ trống:\n你___去学校？\nNǐ ___ qù xuéxiào?""}","{""vi"": [""A. 什么 [shénme]"", ""B. 没关系 [méi guānxi]"", ""C. 没事儿 [méishìr]"", ""D. 怎么 [zěnme]""]}","{""vi"": ""D""}","{""vi"": ""你怎么去学校？\nNǐ zěnme qù xuéxiào?\nDịch: Bạn đến trường bằng cách nào?""}",,,[],HSK1,40
t-hsk1-cumtucodinh,,w-zenme,C2,C,"{""vi"": ""Chọn câu đúng"", ""en"": ""Choose correct sentence""}","{""vi"": ""Chọn câu đúng:""}","{""vi"": [""A. 你怎么不吃？\nNǐ zěnme bù chī?"", ""B. 你吃怎么不？\nNǐ chī zěnme bù?""]}","{""vi"": ""A""}","{""vi"": ""Câu đúng:\n你怎么不吃？\nNǐ zěnme bù chī?\nDịch: Sao bạn không ăn?\n\nCâu sai:\n你吃怎么不？\nNǐ chī zěnme bù?\nLý do: Sai trật tự từ — \""怎么\"" phải đứng trước động từ (\""吃\"") khi hỏi lý do, không đứng sau.""}",,,[],HSK1,41
