id,hz,py,hv,pos,mn,audioUrl,mw,exSample,exPinyin,exMeaning,hskLevel,hanVietLevel,isPublished,createdAt
w-kaiwanxiao,开玩笑,kāiwánxiào,khai ngoạn tiếu,v,"{""vi"": ""nói đùa, trêu đùa"", ""en"": ""make fun of""}",,,他喜欢跟朋友开玩笑。,Tā xǐhuan gēn péngyou kāi wánxiào.,"{""vi"": ""Anh ấy thích đùa với bạn bè."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shenme,什么,shénme,thập ma,pron,"{""vi"": ""cái gì"", ""en"": ""what""}",,,你喜欢什么？,Nǐ xǐhuan shénme?,"{""vi"": ""Bạn thích cái gì?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ganshenme,干什么,gànshénme,cán thập ma,,"{""vi"": ""làm gì đó"", ""en"": ""What to do""}",,,你在干什么？,Nǐ zài gàn shénme?,"{""vi"": ""Bạn đang làm gì vậy?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zenme,怎么,zěnme,chẩm ma,pron,"{""vi"": ""làm sao, thế nào"", ""en"": ""how, why""}",,,你们怎么走？,Nǐmen zěnme zǒu?,"{""vi"": ""Các bạn đi như thế nào?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zenmeyang,怎么样,zěnme yàng,chẩm ma dạng,pron,"{""vi"": ""như thế nào, ra làm sao, ra sao"", ""en"": ""how""}",,,你觉得这个主意怎么样？,Nǐ juéde zhège zhǔyì zěnme yàng?,"{""vi"": ""Bạn nghĩ sao về ý tưởng này?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-duibuqi,对不起,duìbuqǐ,đối bất khởi,v,"{""vi"": ""xin lỗi"", ""en"": ""sorry""}",,,对不起，我来晚了。,"Duìbuqǐ, wǒ lái wǎn le.","{""vi"": ""Xin lỗi, tôi đến muộn rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-meishir,没事儿,méishìr,một sự nhi,,"{""vi"": ""không có việc gì"", ""en"": ""that's all right""}",,,没事儿，我在家看电视。,"Méishìr, wǒ zàijiā kàn diànshì.","{""vi"": ""Không sao, tôi ở nhà xem TV."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-meishenme,没什么,méi shénme,một thập ma,,"{""vi"": ""không có gì"", ""en"": ""never mind""}",,,没什么，请进来吧！,"Méi shénme, qǐng jìnlái ba!","{""vi"": ""Không có gì, mời vào!"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-meiguanxi,没关系,méi guānxi,một quan hệ,,"{""vi"": ""không sao"", ""en"": ""It doesn't matter. / That's all right.""}",,,没关系，我会帮你。,"Méi guānxi, wǒ huì bāng nǐ.","{""vi"": ""Không sao, tôi sẽ giúp bạn."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-youshihou,有时候,yǒu shíhou,hữu thời hậu,adv,"{""vi"": ""có lúc, có khi, đôi lúc, thỉnh thoảng"", ""en"": ""sometimes""}",,,我有时候去跑步。,Wǒ yǒu shíhou qù pǎobù.,"{""vi"": ""Thỉnh thoảng tôi đi chạy bộ."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
