id,hz,py,hv,level,topicId,patterns
r-bao,包,bāo,bao,HSK1,t-hsk1-anuong,"[{""formula"": ""包+___"", ""meaning"": ""đồ ăn bọc nhân"", ""wordIds"": [""w-baozi""]}, {""formula"": ""___+包"", ""meaning"": ""thực phẩm dạng bánh làm bằng bột mỳ"", ""wordIds"": [""w-mianbao""]}]"
r-chi,吃,chī,ngật,HSK1,t-hsk1-anuong,"[{""formula"": ""吃+___"", ""meaning"": ""hành động ăn uống"", ""wordIds"": [""w-chifan""]}, {""formula"": ""___+吃"", ""meaning"": ""cảm nhận khi ăn"", ""wordIds"": [""w-haochi""]}]"
r-dian,店,diàn,điếm,HSK1,t-hsk1-anuong,"[{""formula"": ""___+店"", ""meaning"": ""cửa hàng / địa điểm kinh doanh"", ""wordIds"": [""w-shudian"", ""w-shangdian"", ""w-fandian""]}]"
r-fan,饭,fàn,phạn,HSK1,t-hsk1-anuong,"[{""formula"": ""饭+___"", ""meaning"": ""địa điểm ăn uống"", ""wordIds"": [""w-fandian"", ""w-fanguan""]}, {""formula"": ""___+饭"", ""meaning"": ""liên quan đến ăn uống, bữa ăn"", ""wordIds"": [""w-wufan"", ""w-zaofan"", ""w-wanfan"", ""w-chifan"", ""w-mifan""]}]"
r-guo,果,guǒ,quả,HSK1,t-hsk1-anuong,"[{""formula"": ""___+果"", ""meaning"": ""loại trái cây"", ""wordIds"": [""w-shuiguo"", ""w-pingguo""]}]"
r-mian,面,miàn,diện,HSK1,t-hsk1-anuong,"[{""formula"": ""面+___"", ""meaning"": ""thực phẩm từ bột mì"", ""wordIds"": [""w-mianbao"", ""w-miantiao""]}]"
r-jia,家,jiā,gia,HSK1,t-hsk1-connguoi,"[{""formula"": ""家+___"", ""meaning"": ""phạm vi gia đình / nhà"", ""wordIds"": [""w-jiali"", ""w-jiaren""]}, {""formula"": ""___+家"", ""meaning"": ""hoạt động liên quan nhà"", ""wordIds"": [""w-huijia"", ""w-zaijia""]}]"
r-men,们,men,môn,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+们"", ""meaning"": ""hậu tố số nhiều"", ""wordIds"": [""w-tamen"", ""w-nimen"", ""w-tamen2"", ""w-tamen3""]}]"
r-nan,男,nán,nam,HSK1,t-hsk1-connguoi,"[{""formula"": ""男+___"", ""meaning"": ""phái nam"", ""wordIds"": [""w-nanren"", ""w-nanpengyou""]}]"
r-n,女,nǚ,nữ,HSK1,t-hsk1-connguoi,"[{""formula"": ""女+___"", ""meaning"": ""phái nữ"", ""wordIds"": [""w-nren"", ""w-ner"", ""w-nshi"", ""w-npengyou""]}]"
r-pengyou,朋友,péng yǒu,bằng hữu,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+朋友"", ""meaning"": ""quan hệ bạn bè"", ""wordIds"": [""w-npengyou"", ""w-xiaopengyou"", ""w-nanpengyou""]}]"
r-ren,人,rén,nhân,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+人"", ""meaning"": ""loại người theo đặc điểm"", ""wordIds"": [""w-nren"", ""w-jiaren"", ""w-gongren"", ""w-nanren"", ""w-bingren""]}]"
r-sheng,生,shēng,sinh,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+生"", ""meaning"": ""nghề nghiệp"", ""wordIds"": [""w-zhongxuesheng"", ""w-xiansheng"", ""w-yisheng"", ""w-daxuesheng"", ""w-xuesheng"", ""w-xiaoxuesheng""]}]"
r-de,的,de,đích,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+的"", ""meaning"": ""trợ từ / hậu tố tình thái"", ""wordIds"": [""w-youde"", ""w-zhende""]}]"
r-zi,子,zi,tử,HSK1,t-hsk1-connguoi,"[{""formula"": ""___+子"", ""meaning"": ""hậu tố danh từ"", ""wordIds"": [""w-erzi"", ""w-baozi"", ""w-haizi"", ""w-beizi"", ""w-zhuozi"", ""w-yizi""]}]"
r-dian2,电,diàn,điện,HSK1,t-hsk1-congnghe,"[{""formula"": ""电+___"", ""meaning"": ""thiết bị / phương tiện điện tử"", ""wordIds"": [""w-diannao"", ""w-dianshi"", ""w-dianshiji"", ""w-dianhua""]}]"
r-ji,机,jī,cơ,HSK1,t-hsk1-congnghe,"[{""formula"": ""机+___"", ""meaning"": ""địa điểm / cơ sở"", ""wordIds"": [""w-jichang""]}, {""formula"": ""___+机"", ""meaning"": ""thiết bị / máy móc"", ""wordIds"": [""w-shouji"", ""w-dianshiji"", ""w-feiji""]}]"
r-zuo,作,zuò,tác,HSK1,t-hsk1-congviec,"[{""formula"": ""___+作"", ""meaning"": ""tham gia vào một hoạt động nào đó"", ""wordIds"": [""w-dongzuo"", ""w-gongzuo""]}]"
r-qing,请,qǐng,thỉnh,HSK1,t-hsk1-congviec,"[{""formula"": ""请+___"", ""meaning"": ""lời mời / yêu cầu lịch sự"", ""wordIds"": [""w-qingzuo"", ""w-qingjin"", ""w-qingwen""]}]"
r-yuan,员,yuán,viên,HSK1,t-hsk1-congviec,"[{""formula"": ""___+员"", ""meaning"": ""nhân viên"", ""wordIds"": [""w-fuwuyuan"", ""w-shouhuoyuan""]}]"
r-gong,工,gōng,công,HSK1,t-hsk1-congviec,"[{""formula"": ""工+___"", ""meaning"": ""liên quan đến công việc"", ""wordIds"": [""w-gongren"", ""w-gongzuo"", ""w-gongzuo""]}]"
r-che,车,chē,xa,HSK1,t-hsk1-dichuyen,"[{""formula"": ""车+___"", ""meaning"": ""vị trí / vật liên quan xe"", ""wordIds"": [""w-cheshang"", ""w-chepiao""]}, {""formula"": ""___+车"", ""meaning"": ""loại xe / hoạt động với xe"", ""wordIds"": [""w-shangche"", ""w-xiache"", ""w-chuzuche"", ""w-kaiche"", ""w-qiche"", ""w-huoche""]}]"
r-chu,出,chū,xuất,HSK1,t-hsk1-dichuyen,"[{""formula"": ""出+___"", ""meaning"": ""hành động hướng ra ngoài"", ""wordIds"": [""w-chulai"", ""w-chuzuche""]}]"
r-dao,到,dào,đến,HSK1,t-hsk1-dichuyen,"[{""formula"": ""___+到"", ""meaning"": ""bổ ngữ kết quả (đạt được)"", ""wordIds"": [""w-tingdao"", ""w-huidao"", ""w-zhaodao"", ""w-laidao"", ""w-kandao""]}]"
r-hui,回,huí,hồi,HSK1,t-hsk1-dichuyen,"[{""formula"": ""回+___"", ""meaning"": ""hành động quay về một địa điểm nào đó"", ""wordIds"": [""w-huidao"", ""w-huijia""]}]"
r-lai,来,lái,lai,HSK1,t-hsk1-dichuyen,"[{""formula"": ""来+___"", ""meaning"": ""đến đâu đó"", ""wordIds"": [""w-laidao""]}, {""formula"": ""___+来"", ""meaning"": ""bổ ngữ hướng (lại gần)"", ""wordIds"": [""w-chulai"", ""w-qilai"", ""w-jinlai""]}]"
r-bian,边,biān,biên,HSK1,t-hsk1-diadiem,"[{""formula"": ""___+边"", ""meaning"": ""phương hướng / vị trí"", ""wordIds"": [""w-shangbian"", ""w-xiabian"", ""w-dongbian"", ""w-qianbian"", ""w-beibian"", ""w-nanbian"", ""w-houbian"", ""w-waibian"", ""w-xibian"", ""w-zhebian"", ""w-nabian"", ""w-libian""]}]"
r-guo2,国,guó,quốc,HSK1,t-hsk1-diadiem,"[{""formula"": ""国+___"", ""meaning"": ""phạm vi bên ngoài quốc gia"", ""wordIds"": [""w-guowai""]}, {""formula"": ""___+国"", ""meaning"": ""tên nước cụ thể"", ""wordIds"": [""w-zhongguo""]}]"
r-li,里,lǐ,lý,HSK1,t-hsk1-diadiem,"[{""formula"": ""里+___"", ""meaning"": ""phía trong / vị trí bên trong"", ""wordIds"": [""w-libian""]}, {""formula"": ""___+里"", ""meaning"": ""vị trí / địa điểm"", ""wordIds"": [""w-nali"", ""w-jiali"", ""w-zheli"", ""w-nali2""]}]"
r-lou,楼,lóu,lâu,HSK1,t-hsk1-diadiem,"[{""formula"": ""楼+___"", ""meaning"": ""vị trí trong tòa nhà"", ""wordIds"": [""w-loushang"", ""w-louxia""]}, {""formula"": ""___+楼"", ""meaning"": ""tòa nhà / công trình"", ""wordIds"": [""w-jiaoxuelou""]}]"
r-na,那,nà,na,HSK1,t-hsk1-diadiem,"[{""formula"": ""那+___"", ""meaning"": ""chỉ định từ xa (đó / kia)"", ""wordIds"": [""w-nage2"", ""w-naxie"", ""w-nar"", ""w-nabian"", ""w-nali2""]}]"
r-na2,哪,nǎ,na,HSK1,t-hsk1-diadiem,"[{""formula"": ""哪+___"", ""meaning"": ""từ để hỏi về vị trí (nào / đâu)"", ""wordIds"": [""w-nage"", ""w-naxie2"", ""w-nar2"", ""w-nali""]}]"
r-qian,前,qián,tiền,HSK1,t-hsk1-diadiem,"[{""formula"": ""前+___"", ""meaning"": ""vị trí phía trước"", ""wordIds"": [""w-qianbian"", ""w-qianmian""]}]"
